"","Lake_Name","SEAc","dY_range","dX_range","TA","CD","NND","SDNND","sampling_year","Area_ha","Secchi_depth","summer_air_temp","LaTro_CUE","NoPik_CUE","Burbo_CUE","Walle_CUE","LmBas_CUE","Muske_CUE","total_pred_CUE","log_area_ha","log_dY_range","log_dX_range","log_SEAc","log_LaTro_CUE","log_NND","log_SDNND","log_CD","log_total_pred_CUE"
"11","Dogpaw",0.0274518391169132,0.3289856724791,0.412157876490705,0.0736553100333861,0.115858994816868,0.0522682751327986,0.0339241668371588,2010,1966.936157,3.86,18.7641304347826,0.322,0.866,0.01,0.398,0,0.133,1.458,7.58423236082114,-1.11174107786078,-0.886348807667415,-3.59532211447626,-1.13320373343773,-2.95136568598299,-3.38362763252641,-2.15538138919397,0.377065633586466
"12","Dryberry",0.0867434673163018,0.80346697060831,0.344996835353049,0.214188435374092,0.239083716696948,0.0823107806495991,0.072439560724059,2010,10238.58496,7.5,18.5684782608696,0.35,0.191,0.195,0,0,0.062,0.551,9.23391870154473,-0.21881920154642,-1.06422003488256,-2.44480016770193,-1.04982212449868,-2.49725318778063,-2.62500270998229,-1.43094150931729,-0.596020469829223
"13","Eva",0.0253652421765901,0.45896140417146,0.300638898758753,0.0762611308281973,0.103162732718162,0.0519087604867887,0.0636465363276442,2010,1726.177124,5,17.9304347826087,0.346,0.305,0.131,0,0,0,0.636,7.45366448746741,-0.778789159229501,-1.20184540631347,-3.67437546034141,-1.06131650392441,-2.95826770754813,-2.75441037293554,-2.27144760822522,-0.452556715642015
"14","Kaiashkons",0.0511124232318465,0.65425435122213,0.278625393580731,0.097549089606288,0.175280315045437,0.0613663994736456,0.0323517458119407,2010,2025.220215,6.65,18.8923913043478,0.494,0.165,0.922,0.222,0,0,1.522,7.61343372177614,-0.424259086891468,-1.27788707469485,-2.9737276952373,-0.705219761794215,-2.79089283346232,-3.43108729312534,-1.74136878631272,0.420025259439494
"15","Kakagi",0.112204800924023,0.49626536557104,0.60604658497307,0.188713281814632,0.241100568590398,0.087842553355196,0.0329176862606728,2010,11061.6709,8.6,18.8097826086957,0.433,0.012,0.982,0,0,0.012,1.117,9.31124133961487,-0.700644484092757,-0.500798422974537,-2.1874294978248,-0.837017550979647,-2.43220923339207,-3.41374518934095,-1.42254113548009,0.110646520087064
"16","Katimiagamak",0.0403555879747497,0.67141223511025,0.224145687950769,0.08069718152026,0.162646726485964,0.0814105831905348,0.0630019223753944,2010,1078.848267,5.3,18.6532608695652,0.479,0,1.197,0,0,0.068,1.367,6.98364933164402,-0.398371971322158,-1.49545904590336,-3.21002540625248,-0.736054681571222,-2.50824999979908,-2.76459003916099,-1.81617475238911,0.312618557741813
"17","Lake_of_Bays",0.271810670340594,1.65801359951346,0.670420333971853,0.523646402423315,0.323809580856951,0.217786930283951,0.256726716184705,2008,6763.313477,4.3,17.6,0.198,0.025,0.314,0,0,0,1.182,8.8192682082677,0.505620259039814,-0.399850399170643,-1.30264951997609,-1.6194882482876,-1.52423807816283,-1.35974312100551,-1.1275996493655,0.167207918983906
"18","Longlegged",0.0395759055146576,0.5518818489098,0.345158937424964,0.0960593265204475,0.139003865523112,0.0541354538098795,0.0384770004031457,2009,6760.294434,3,14.9576086956522,0.257,0.817,0.129,5.358,0,0.037,6.341,8.81882172341395,-0.594421297445336,-1.0637502798467,-3.22953479250001,-1.35867919408692,-2.91626596932508,-3.25769460832426,-1.97325353671933,1.84703648471789
"19","Lower_Manitou",0.0631916876306702,0.91890994721904,0.339188403567036,0.15759253374054,0.252544405677173,0.0660445780906717,0.0532379913679783,2010,8871.666016,6.2,18.5271739130435,0.573,0.327,0.396,0.038,0,0,1.109,9.09061788359664,-0.0845671513961811,-1.08119956324598,-2.76158251131064,-0.556869562267398,-2.7174253393367,-2.93298301404113,-1.37616818166098,0.10345870836823
"20","Pickerel",0.0277401652041312,0.59342789283108,0.167317037399581,0.0554470081059568,0.150902459328818,0.0459477956383693,0.0439997025039609,2010,5355.734375,3.3,18.3141304347826,0.529,0.245,0.179,1.782,0,0,2.441,8.58592311166788,-0.521839567122133,-1.78786483875913,-3.58487390866505,-0.636766847123838,-3.08024940438082,-3.12357240636035,-1.89112161560212,0.892407791410823
"21","Rosseau",0.00881046072287839,0.2712895390049,0.120745310107438,0.0217812867406133,0.0698342459938485,0.0335464241991508,0.0306674970268733,2011,6297.369141,5.3,19.8891304347826,0.516,0.065,0.18,0.023,0,0,1.213,8.74788722849519,-1.3045686188336,-2.11407182689369,-4.73181554495551,-0.661648513500574,-3.394825002492,-3.48455191400452,-2.66163075924913,0.193096629961913
"22","Silver",0.0499806486235555,0.93039680280603,0.219834093771272,0.0632731349802182,0.206621770631042,0.163364861379998,0.175641853367807,2010,2577.643,5.43,18.1565217391304,0.125,0.016,0.446,0,0,0,0.462,7.85463069446854,-0.0721441141485588,-1.5148821363422,-2.99611937599736,-2.07944154167984,-1.81176916631612,-1.73930828126158,-1.57686535209295,-0.772190387900398
"23","Stormy",0.0215454047296682,0.87039291267972,0.250692549106674,0.0504163263997479,0.158824808008349,0.0445645410266262,0.0575333740039197,2010,3432.499512,4.5,18.2684782608696,0.77,0.515,0.185,0,0,0,0.7,8.14104399547169,-0.138810545515035,-1.38352799461585,-3.83759272277315,-0.261364764134408,-3.11081678041746,-2.85539008209642,-1.8399535206554,-0.356674943938732
"24","Tadpole",0.0127125377344379,0.44318365122432,0.115427606771709,0.0286183479307951,0.113920787592392,0.0369522197605328,0.0141431387601895,2010,521.8063354,4.5,18.3010869565217,0.801,0.859,0.001,0,0,0,0.86,6.25729651406242,-0.813771032261212,-2.15911172672706,-4.36516654931783,-0.221894331913778,-3.29812955868239,-4.25852566576448,-2.17225191778556,-0.150822889734584
"25","Upper_Manitou",0.0423627988991077,0.69553331600446,0.36872639193864,0.112090181858814,0.187333480372812,0.0544740296410706,0.0460614463133957,2010,5310.433105,5.5,18.3782608695652,0.488,0.31,0.152,1.718,0,0,2.432,8.57742867493995,-0.36307636653089,-0.99770039523891,-3.16148468632626,-0.71743987312899,-2.91003121123217,-3.07777898444438,-1.67486493284861,0.88871396410392
"26","Upper_Medicine_Stone",0.0769086276689668,0.30432195086235,0.62683104775246,0.114347504946815,0.237815778819617,0.0826241515131868,0.0791569953787007,2009,1076.231812,2.35,14.8521739130435,0.213,0.178,0.883,1.242,0,0,2.303,6.98122115617986,-1.18966908908326,-0.467078235980281,-2.56513721540917,-1.54646311327271,-2.49345324999237,-2.5363221152756,-1.43625894360623,0.834212620838548
"27","Victoria",0.0266807178545867,0.59565775065154,0.32448317794893,0.0810291207372655,0.150620493887941,0.0432212622652989,0.0345792518348698,2009,926.2330933,3.3,15.0760869565217,2.384,0.658,0,0,0,0,0.658,6.83112592359621,-0.518089020731203,-1.12552158409257,-3.62381415220272,0.868779749203103,-3.14142272274683,-3.36450143473694,-1.89299189128137,-0.41855034765682
"28","Wapageisi",0.0360683019331342,0.51234935524928,0.309365875424088,0.102030235696166,0.136276625237801,0.0635564741135323,0.0390080546734645,2010,1304.994019,5,18.2586956521739,0.63,0.049,0.215,0,0,0,0.264,7.17395373660453,-0.668748552155705,-1.17323063967283,-3.32234086216031,-0.462035459596559,-2.7558264122077,-3.24398712408806,-1.99306844994036,-1.33180617583582
